organization,location,start,end,stipend
Indian Institute of Technology, Kharagpur,Kharagpur,21 May 2022,21 Jul 2022,0
MLP Technologies,Puducherry,8 Aug 2022,8 Sep 2022,2000
CybraneX Pvt Ltd,New Delhi,15 Sep 2022,15 Oct 2022,2500
DocTunes Audiotech Pvt Ltd,Jaipur,16 Oct 2022,16 Dec 2022,5000
VillaMart Pvt Ltd,Bhubaneswar,20 Aug 2023,19 Oct 2023,0
Avkalan.ai,London,16 Oct 2023,31 May 2024,15000
Wipro Ltd,Remote,1 May 2024,30 Sep 2024,0
Indian Statistical Institute,Kolkata,10 Jun 2024,9 Oct 2024,0
1commerce,Gurugram,14 Jan 2025,12 Mar 2025,10000
Indian Institute of Technology,Kharagpur,10 Mar 2025,Present,0
University of Liverpool,Liverpool,21 Apr 2025,Present,0
StartCoding,Bengaluru,05 Jun 2025,19 Jun 2025,15000
